@RELATION urnsModelData

@ATTRIBUTE logLen NUMERIC
@ATTRIBUTE singleton NUMERIC
@ATTRIBUTE low5 NUMERIC
@ATTRIBUTE mean NUMERIC
@ATTRIBUTE median NUMERIC
@ATTRIBUTE top10 NUMERIC
@ATTRIBUTE top50 NUMERIC
@ATTRIBUTE top100 NUMERIC
@ATTRIBUTE top1000 NUMERIC
@ATTRIBUTE logLenC NUMERIC

@DATA
11.2684,0.0348,0.0668,12.8155,2.0000,0.3973,0.5227,0.5743,0.7298,6.8690144506657065
10.0355,0.0440,0.0808,10.7668,2.0000,0.4572,0.5787,0.6289,0.7838,5.420534999272286
10.0300,0.0446,0.0812,10.6981,2.0000,0.4586,0.5780,0.6283,0.7829,5.420534999272286
10.1621,0.0329,0.0666,12.7221,2.0000,0.4581,0.5791,0.6296,0.7844,5.420534999272286
10.1385,0.0180,0.0477,16.4209,2.0000,0.3984,0.5373,0.5951,0.7719,8.517193191416238
10.2017,0.0125,0.0376,19.7083,3.0000,0.3985,0.5368,0.5956,0.7730,8.517193191416238
10.3121,0.0036,0.0176,32.9423,5.0000,0.3972,0.5362,0.5951,0.7726,8.517193191416238
9.9169,0.0239,0.0557,14.6621,2.0000,0.4590,0.5839,0.6356,0.7969,5.966146739123692
10.1866,0.0004,0.0060,57.5767,8.0000,0.4576,0.5831,0.6355,0.7945,5.966146739123692
9.9514,0.0202,0.0505,15.8859,2.0000,0.4581,0.5841,0.6359,0.7961,5.966146739123692
10.5554,0.0666,0.1043,8.6923,1.0000,0.4344,0.5703,0.6244,0.7611,3.258096538021482
10.8155,0.0472,0.0819,10.7839,1.0000,0.4321,0.5699,0.6238,0.7597,3.258096538021482
10.5666,0.0667,0.1043,8.6881,1.0000,0.4328,0.5688,0.6230,0.7593,3.258096538021482
10.6923,0.1134,0.1526,6.0999,1.0000,0.3875,0.5115,0.5622,0.7141,6.3818160174060985
10.9125,0.0990,0.1375,6.7280,1.0000,0.3871,0.5093,0.5604,0.7127,6.3818160174060985
11.8011,0.0355,0.0667,12.9965,2.0000,0.3878,0.5110,0.5620,0.7129,6.3818160174060985
10.3066,0.0108,0.0501,13.9799,4.0000,0.2663,0.4524,0.5069,0.6590,3.58351893845611
10.3733,0.0000,0.0002,72.4041,17.0000,0.2667,0.4517,0.5055,0.6576,3.58351893845611
10.2138,0.0272,0.0831,9.7331,3.0000,0.2669,0.4534,0.5067,0.6587,3.58351893845611
9.7691,0.0261,0.0593,13.6170,2.0000,0.3500,0.5013,0.5686,0.7793,6.234410725718371
9.7500,0.0283,0.0628,12.9955,2.0000,0.3508,0.5014,0.5684,0.7784,6.234410725718371
